INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,27-Aug-2015,0,XX,18975,19139,18810,19059.4,19059.4,178229,845025.37,2031825,46725,04-AUG-2015,
FUTIDX,BANKNIFTY,24-Sep-2015,0,XX,19119.65,19232.4,18907.35,19155.7,19155.7,5602,26687.62,77875,12100,04-AUG-2015,
FUTIDX,BANKNIFTY,29-Oct-2015,0,XX,19176.1,19320,19031,19253.75,19253.75,235,1125.79,5750,1125,04-AUG-2015,
FUTIDX,CNXINFRA,27-Aug-2015,0,XX,0,0,0,3235.7,3302.1,0,0,0,0,04-AUG-2015,
FUTIDX,CNXINFRA,24-Sep-2015,0,XX,0,0,0,3362.5,3322.45,0,0,0,0,04-AUG-2015,
FUTIDX,CNXINFRA,29-Oct-2015,0,XX,0,0,0,3349.5,3347.55,0,0,0,0,04-AUG-2015,
FUTIDX,CNXIT,27-Aug-2015,0,XX,11490,11491.25,11400.55,11463.3,11463.3,261,747.39,9825,-100,04-AUG-2015,
FUTIDX,CNXIT,24-Sep-2015,0,XX,11556.95,11560,11484.9,11495,11541.45,5,14.41,175,0,04-AUG-2015,
FUTIDX,CNXIT,29-Oct-2015,0,XX,0,0,0,11620.95,11628.7,0,0,0,0,04-AUG-2015,
FUTIDX,CNXPSE,27-Aug-2015,0,XX,0,0,0,3584,3546.95,0,0,0,0,04-AUG-2015,
FUTIDX,CNXPSE,24-Sep-2015,0,XX,0,0,0,3617.4,3568.8,0,0,0,0,04-AUG-2015,
FUTIDX,CNXPSE,29-Oct-2015,0,XX,0,0,0,3585.15,3595.75,0,0,0,0,04-AUG-2015,
FUTIDX,DJIA,21-Aug-2015,0,XX,17532.5,17565,17505,17560,17560,225,987,11675,4300,04-AUG-2015,
FUTIDX,DJIA,18-Sep-2015,0,XX,17527.5,17527.5,17497.5,17497.5,17770,5,21.9,1200,125,04-AUG-2015,
