INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,25-Jun-2015,0,XX,17785,17828.7,17475,17748.2,17748.2,153903,680237.76,2297650,66375,04-JUN-2015,
FUTIDX,BANKNIFTY,30-Jul-2015,0,XX,17790.05,17905,17565,17836.15,17836.15,4648,20648.54,124550,14700,04-JUN-2015,
FUTIDX,BANKNIFTY,27-Aug-2015,0,XX,17902.55,18035,17700,17958.1,17958.1,299,1340.33,9125,-25,04-JUN-2015,
FUTIDX,CNXINFRA,25-Jun-2015,0,XX,0,0,0,3245.75,3180.75,0,0,0,0,04-JUN-2015,
FUTIDX,CNXINFRA,30-Jul-2015,0,XX,0,0,0,3218.65,3205.5,0,0,0,0,04-JUN-2015,
FUTIDX,CNXINFRA,27-Aug-2015,0,XX,0,0,0,3235.7,3225.3,0,0,0,0,04-JUN-2015,
FUTIDX,CNXIT,25-Jun-2015,0,XX,11350,11426.9,11295,11350.8,11350.8,386,1097.44,16300,1150,04-JUN-2015,
FUTIDX,CNXIT,30-Jul-2015,0,XX,0,0,0,11559.7,11520.1,0,0,100,0,04-JUN-2015,
FUTIDX,CNXIT,27-Aug-2015,0,XX,0,0,0,11689.15,11591.2,0,0,0,0,04-JUN-2015,
FUTIDX,CNXPSE,25-Jun-2015,0,XX,0,0,0,3465.9,3463.95,0,0,0,0,04-JUN-2015,
FUTIDX,CNXPSE,30-Jul-2015,0,XX,0,0,0,3483.45,3490.9,0,0,0,0,04-JUN-2015,
FUTIDX,CNXPSE,27-Aug-2015,0,XX,0,0,0,3584,3512.45,0,0,0,0,04-JUN-2015,
FUTIDX,DJIA,19-Jun-2015,0,XX,18055,18060,17950,17987.5,17987.5,468,2105.59,20675,-2425,04-JUN-2015,
FUTIDX,DJIA,17-Jul-2015,0,XX,0,0,0,17960,18250,0,0,25,0,04-JUN-2015,
FUTIDX,DJIA,21-Aug-2015,0,XX,0,0,0,18660,18390,0,0,0,0,04-JUN-2015,
FUTIDX,DJIA,18-Sep-2015,0,XX,0,0,0,18855,18502.5,0,0,0,0,04-JUN-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,19362.5,18877.5,0,0,0,0,04-JUN-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,19560,19257.5,0,0,0,0,04-JUN-2015,
