INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,30-Jul-2015,0,XX,18939,19008.7,18801,18838.05,18838.05,118282,558868.83,1735175,-1800,14-JUL-2015,
FUTIDX,BANKNIFTY,27-Aug-2015,0,XX,18993.5,19095,18892.25,18929.3,18929.3,4382,20800.04,129675,10150,14-JUL-2015,
FUTIDX,BANKNIFTY,24-Sep-2015,0,XX,19125,19174.25,18980.05,19004.3,19004.3,175,834.18,29050,-50,14-JUL-2015,
FUTIDX,CNXINFRA,30-Jul-2015,0,XX,0,0,0,3218.65,3362.6,0,0,0,0,14-JUL-2015,
FUTIDX,CNXINFRA,27-Aug-2015,0,XX,0,0,0,3235.7,3383.5,0,0,0,0,14-JUL-2015,
FUTIDX,CNXINFRA,24-Sep-2015,0,XX,0,0,0,3362.5,3404.3,0,0,0,0,14-JUL-2015,
FUTIDX,CNXIT,30-Jul-2015,0,XX,11010,11060,10932.75,11026.75,11026.75,351,965.09,21075,-975,14-JUL-2015,
FUTIDX,CNXIT,27-Aug-2015,0,XX,10988.35,11100,10988.35,11100,11100,6,16.56,350,100,14-JUL-2015,
FUTIDX,CNXIT,24-Sep-2015,0,XX,0,0,0,11204.35,11219.3,0,0,50,0,14-JUL-2015,
FUTIDX,CNXPSE,30-Jul-2015,0,XX,0,0,0,3483.45,3576.3,0,0,0,0,14-JUL-2015,
FUTIDX,CNXPSE,27-Aug-2015,0,XX,0,0,0,3584,3598.55,0,0,0,0,14-JUL-2015,
FUTIDX,CNXPSE,24-Sep-2015,0,XX,0,0,0,3617.4,3620.7,0,0,0,0,14-JUL-2015,
FUTIDX,DJIA,17-Jul-2015,0,XX,17520,17960,17510,17937.5,17937.5,239,1071.61,17700,2075,14-JUL-2015,
FUTIDX,DJIA,21-Aug-2015,0,XX,17885,17895,17880,17885,18130,40,178.83,1925,900,14-JUL-2015,
