INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,29-Oct-2015,0,XX,17765,18009.85,17626,17983.35,17983.35,143065,637128.29,2409850,62200,16-OCT-2015,
FUTIDX,BANKNIFTY,26-Nov-2015,0,XX,17850,18108,17730,18076.2,18076.2,3917,21074.1,124140,13290,16-OCT-2015,
FUTIDX,BANKNIFTY,31-Dec-2015,0,XX,17911,18200.6,17840,18176.95,18176.95,423,2285.61,20310,2790,16-OCT-2015,
FUTIDX,CNXINFRA,29-Oct-2015,0,XX,0,0,0,3349.5,3017.2,0,0,0,0,16-OCT-2015,
FUTIDX,CNXINFRA,26-Nov-2015,0,XX,0,0,0,3019.6,3034.2,0,0,0,0,16-OCT-2015,
FUTIDX,CNXINFRA,31-Dec-2015,0,XX,0,0,0,2832.6,3055.35,0,0,0,0,16-OCT-2015,
FUTIDX,CNXIT,29-Oct-2015,0,XX,11370.1,11389.95,11310.1,11354.05,11354.05,318,902.7,21450,175,16-OCT-2015,
FUTIDX,CNXIT,26-Nov-2015,0,XX,0,0,0,11900,11430.55,0,0,405,0,16-OCT-2015,
FUTIDX,CNXIT,31-Dec-2015,0,XX,0,0,0,12196.45,11510.25,0,0,0,0,16-OCT-2015,
FUTIDX,CNXPSE,29-Oct-2015,0,XX,0,0,0,3585.15,3190.25,0,0,0,0,16-OCT-2015,
FUTIDX,CNXPSE,26-Nov-2015,0,XX,0,0,0,3158.15,3208.2,0,0,0,0,16-OCT-2015,
FUTIDX,CNXPSE,31-Dec-2015,0,XX,0,0,0,3039.2,3230.55,0,0,0,0,16-OCT-2015,
FUTIDX,DJIA,16-Oct-2015,0,XX,17100,17220,17100,17202.5,17241.36,147,630.61,9675,-1025,16-OCT-2015,
FUTIDX,DJIA,20-Nov-2015,0,XX,17590,17590,16820,17097.5,17097.5,163,834.9,8460,3390,16-OCT-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,19362.5,17360,0,0,0,0,16-OCT-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,16072.5,17675,0,0,30,0,16-OCT-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,16385,17997.5,0,0,30,0,16-OCT-2015,
FUTIDX,DJIA,16-Sep-2016,0,XX,0,0,0,16702.5,18325,0,0,30,0,16-OCT-2015,
FUTIDX,FTSE100,16-Oct-2015,0,XX,0,0,0,6270,6397.97,0,0,300,0,16-OCT-2015,
FUTIDX,FTSE100,20-Nov-2015,0,XX,0,0,0,6531,6383,0,0,0,0,16-OCT-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,6419,0,0,0,0,16-OCT-2015,
FUTIDX,FTSE100,15-Jan-2016,0,XX,0,0,0,6386,6455,0,0,0,0,16-OCT-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,6536,0,0,0,0,16-OCT-2015,
FUTIDX,FTSE100,17-Jun-2016,0,XX,0,0,0,7242,6655,0,0,0,0,16-OCT-2015,
FUTIDX,FTSE100,16-Sep-2016,0,XX,0,0,0,6637,6777,0,0,0,0,16-OCT-2015,
FUTIDX,NFTYMCAP50,29-Oct-2015,0,XX,0,0,0,3200,3375.75,0,0,37500,0,16-OCT-2015,
FUTIDX,NFTYMCAP50,26-Nov-2015,0,XX,0,0,0,3212.5,3394.75,0,0,0,0,16-OCT-2015,
FUTIDX,NFTYMCAP50,31-Dec-2015,0,XX,0,0,0,3224.45,3418.45,0,0,0,0,16-OCT-2015,
FUTIDX,NIFTY,29-Oct-2015,0,XX,8191.55,8266.85,8151,8259.45,8259.45,450433,924509.44,20324375,203450,16-OCT-2015,
FUTIDX,NIFTY,26-Nov-2015,0,XX,8218.75,8304.9,8191.55,8298.1,8298.1,15074,93117.29,3342075,523350,16-OCT-2015,
FUTIDX,NIFTY,31-Dec-2015,0,XX,8273,8345.85,8233,8339.9,8339.9,1711,10666.35,1843500,75000,16-OCT-2015,
FUTIDX,S&P500,16-Oct-2015,0,XX,2024,2031,2022.5,2029.5,2034.33,258,1306.86,79000,-56500,16-OCT-2015,
FUTIDX,S&P500,20-Nov-2015,0,XX,2020,2022.5,2015,2021.75,2021.75,304,1534.44,100250,58000,16-OCT-2015,
FUTIDX,S&P500,18-Dec-2015,0,XX,0,0,0,2244.75,2049.5,0,0,0,0,16-OCT-2015,
FUTIDX,S&P500,18-Mar-2016,0,XX,0,0,0,2275.75,2086.75,0,0,0,0,16-OCT-2015,
FUTIDX,S&P500,17-Jun-2016,0,XX,0,0,0,2299,2125,0,0,0,0,16-OCT-2015,
FUTIDX,S&P500,16-Sep-2016,0,XX,0,0,0,2150.5,2163.75,0,0,0,0,16-OCT-2015,
FUTIVX,INDIAVIX,20-Oct-2015,0,XX,0,0,0,2115,1649.5,0,0,0,0,16-OCT-2015,
FUTIVX,INDIAVIX,27-Oct-2015,0,XX,0,0,0,1922.75,1655.75,0,0,0,0,16-OCT-2015,
FUTIVX,INDIAVIX,03-Nov-2015,0,XX,0,0,0,1816,1674.5,0,0,0,0,16-OCT-2015,
FUTSTK,ABIRLANUVO,29-Oct-2015,0,XX,2179.85,2213.65,2155,2167.1,2167.1,2965,8112.82,639875,34250,16-OCT-2015,
FUTSTK,ABIRLANUVO,26-Nov-2015,0,XX,2199.95,2219,2175.05,2176.5,2176.5,23,126.71,20000,1500,16-OCT-2015,
FUTSTK,ABIRLANUVO,31-Dec-2015,0,XX,0,0,0,2160,2191,0,0,250,0,16-OCT-2015,
FUTSTK,ACC,29-Oct-2015,0,XX,1376.45,1405,1368.25,1396.2,1396.2,3781,6565.2,949750,-17000,16-OCT-2015,
FUTSTK,ACC,26-Nov-2015,0,XX,1384.35,1412,1375.55,1404.25,1404.25,97,509.5,29625,6000,16-OCT-2015,
FUTSTK,ACC,31-Dec-2015,0,XX,1396.55,1396.55,1396.55,1396.55,1396.55,1,5.23,1500,375,16-OCT-2015,
FUTSTK,ADANIENT,29-Oct-2015,0,XX,98.05,102.15,94.8,96.25,96.25,26924,13193.85,10935500,-524500,16-OCT-2015,
