INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,24-Sep-2015,0,XX,16875,17020,16780.8,16961.15,16961.15,136079,575609.03,2355375,-154500,16-SEP-2015,
FUTIDX,BANKNIFTY,29-Oct-2015,0,XX,16940,17112.35,16882,17057.4,17057.4,5991,25475.22,162750,10500,16-SEP-2015,
FUTIDX,BANKNIFTY,26-Nov-2015,0,XX,17075.85,17200,16980.05,17141.25,17141.25,302,1548.32,15570,3000,16-SEP-2015,
FUTIDX,CNXINFRA,24-Sep-2015,0,XX,0,0,0,3362.5,2911.5,0,0,0,0,16-SEP-2015,
FUTIDX,CNXINFRA,29-Oct-2015,0,XX,0,0,0,3349.5,2933.5,0,0,0,0,16-SEP-2015,
FUTIDX,CNXINFRA,26-Nov-2015,0,XX,0,0,0,3019.6,2951.1,0,0,0,0,16-SEP-2015,
FUTIDX,CNXIT,24-Sep-2015,0,XX,11599.95,11671.5,11571,11610.2,11610.2,258,749.62,10850,-525,16-SEP-2015,
FUTIDX,CNXIT,29-Oct-2015,0,XX,11700,11700,11633,11650.65,11650.65,33,96.16,925,275,16-SEP-2015,
FUTIDX,CNXIT,26-Nov-2015,0,XX,0,0,0,11620.7,11784.35,0,0,0,0,16-SEP-2015,
FUTIDX,CNXPSE,24-Sep-2015,0,XX,0,0,0,3617.4,3035.95,0,0,0,0,16-SEP-2015,
FUTIDX,CNXPSE,29-Oct-2015,0,XX,0,0,0,3585.15,3058.85,0,0,0,0,16-SEP-2015,
FUTIDX,CNXPSE,26-Nov-2015,0,XX,0,0,0,3158.15,3077.2,0,0,0,0,16-SEP-2015,
FUTIDX,DJIA,18-Sep-2015,0,XX,16567.5,16625,16567.5,16610,16610,180,746.77,7100,175,16-SEP-2015,
FUTIDX,DJIA,16-Oct-2015,0,XX,16485,16577.5,16485,16560,16560,60,248.05,2475,450,16-SEP-2015,
FUTIDX,DJIA,20-Nov-2015,0,XX,0,0,0,17315,16832.5,0,0,0,0,16-SEP-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,19362.5,16935,0,0,0,0,16-SEP-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,19560,17267.5,0,0,0,0,16-SEP-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,19635,17607.5,0,0,0,0,16-SEP-2015,
