INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,28-May-2015,0,XX,18524.3,18644,18375,18441.25,18449.2,125212,578632.15,945125,-359450,28-MAY-2015,
FUTIDX,BANKNIFTY,25-Jun-2015,0,XX,18533.4,18660,18414,18491.25,18491.25,82889,383595.07,1612425,624525,28-MAY-2015,
FUTIDX,BANKNIFTY,30-Jul-2015,0,XX,18649.2,18722,18501,18570.45,18570.45,1504,6994.49,45825,9125,28-MAY-2015,
FUTIDX,CNXINFRA,28-May-2015,0,XX,0,0,0,3296,3169.75,0,0,100,0,28-MAY-2015,
FUTIDX,CNXINFRA,25-Jun-2015,0,XX,0,0,0,3245.75,3189.5,0,0,0,0,28-MAY-2015,
FUTIDX,CNXINFRA,30-Jul-2015,0,XX,0,0,0,3218.65,3215.3,0,0,0,0,28-MAY-2015,
FUTIDX,CNXIT,28-May-2015,0,XX,11450.15,11474.95,11310,11441.05,11450.85,347,987.25,13200,-2825,28-MAY-2015,
FUTIDX,CNXIT,25-Jun-2015,0,XX,11380,11442.95,11301.5,11411.85,11411.85,327,929.68,14050,3900,28-MAY-2015,
FUTIDX,CNXIT,30-Jul-2015,0,XX,0,0,0,11224.25,11615.3,0,0,0,0,28-MAY-2015,
FUTIDX,CNXPSE,28-May-2015,0,XX,0,0,0,3490,3510.95,0,0,0,0,28-MAY-2015,
FUTIDX,CNXPSE,25-Jun-2015,0,XX,0,0,0,3465.9,3532.8,0,0,0,0,28-MAY-2015,
FUTIDX,CNXPSE,30-Jul-2015,0,XX,0,0,0,3483.45,3561.4,0,0,0,0,28-MAY-2015,
FUTIDX,DJIA,19-Jun-2015,0,XX,18115,18120,18070,18097.5,18097.5,419,1895.8,23825,6275,28-MAY-2015,
FUTIDX,DJIA,17-Jul-2015,0,XX,0,0,0,18472.5,18370,0,0,0,0,28-MAY-2015,
FUTIDX,DJIA,21-Aug-2015,0,XX,0,0,0,18660,18517.5,0,0,0,0,28-MAY-2015,
FUTIDX,DJIA,18-Sep-2015,0,XX,0,0,0,18855,18635,0,0,0,0,28-MAY-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,19362.5,19022.5,0,0,0,0,28-MAY-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,19560,19417.5,0,0,0,0,28-MAY-2015,
FUTIDX,FTSE100,19-Jun-2015,0,XX,0,0,0,6970,7068,0,0,500,0,28-MAY-2015,
FUTIDX,FTSE100,17-Jul-2015,0,XX,0,0,0,7246,7114,0,0,0,0,28-MAY-2015,
FUTIDX,FTSE100,21-Aug-2015,0,XX,0,0,0,7109,7170,0,0,0,0,28-MAY-2015,
FUTIDX,FTSE100,18-Sep-2015,0,XX,0,0,0,7413,7216,0,0,0,0,28-MAY-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,7366,0,0,0,0,28-MAY-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,7519,0,0,0,0,28-MAY-2015,
FUTIDX,NFTYMCAP50,28-May-2015,0,XX,0,0,0,3426.25,3344.75,0,0,0,0,28-MAY-2015,
FUTIDX,NFTYMCAP50,25-Jun-2015,0,XX,0,0,0,3377.6,3365.55,0,0,0,0,28-MAY-2015,
FUTIDX,NFTYMCAP50,30-Jul-2015,0,XX,0,0,0,3333.2,3392.8,0,0,0,0,28-MAY-2015,
FUTIDX,NIFTY,28-May-2015,0,XX,8348,8365.5,8260.1,8317,8319,536117,1113405.05,6241025,-2360325,28-MAY-2015,
FUTIDX,NIFTY,25-Jun-2015,0,XX,8360,8376,8275.5,8318.55,8318.55,375191,780255,12973375,2808900,28-MAY-2015,
FUTIDX,NIFTY,30-Jul-2015,0,XX,8390,8411.3,8310.15,8354.6,8354.6,12272,25634.36,347375,81200,28-MAY-2015,
FUTIDX,S&P500,19-Jun-2015,0,XX,2118.5,2119.75,2114.25,2116.5,2116.5,290,1535.52,270000,57250,28-MAY-2015,
FUTIDX,S&P500,17-Jul-2015,0,XX,0,0,0,2147.75,2147.75,0,0,0,0,28-MAY-2015,
FUTIDX,S&P500,21-Aug-2015,0,XX,0,0,0,2168.5,2164.75,0,0,0,0,28-MAY-2015,
FUTIDX,S&P500,18-Sep-2015,0,XX,0,0,0,2196.5,2178.5,0,0,0,0,28-MAY-2015,
FUTIDX,S&P500,18-Dec-2015,0,XX,0,0,0,2244.75,2224,0,0,0,0,28-MAY-2015,
FUTIDX,S&P500,18-Mar-2016,0,XX,0,0,0,2275.75,2270.25,0,0,0,0,28-MAY-2015,
FUTIVX,INDIAVIX,02-Jun-2015,0,XX,0,0,0,2013.25,1710.75,0,0,0,0,28-MAY-2015,
FUTIVX,INDIAVIX,09-Jun-2015,0,XX,0,0,0,1818,1713.25,0,0,0,0,28-MAY-2015,
FUTIVX,INDIAVIX,16-Jun-2015,0,XX,0,0,0,1714.75,1715.75,0,0,0,0,28-MAY-2015,
FUTSTK,ABIRLANUVO,28-May-2015,0,XX,1807.95,1817,1786,1803.1,1809.4,6707,15092.32,166250,-582750,28-MAY-2015,
FUTSTK,ABIRLANUVO,25-Jun-2015,0,XX,1823.75,1834.8,1797,1824.1,1824.1,6504,14732.72,1136875,546500,28-MAY-2015,
FUTSTK,ABIRLANUVO,30-Jul-2015,0,XX,1830,1830,1830,1830,1835.4,1,2.28,625,125,28-MAY-2015,
FUTSTK,ACC,28-May-2015,0,XX,1475.9,1486.45,1460.35,1469.85,1470.7,4779,8795.45,324625,-194250,28-MAY-2015,
FUTSTK,ACC,25-Jun-2015,0,XX,1482.45,1494.75,1470,1480.45,1480.45,4899,9067.32,896500,206500,28-MAY-2015,
FUTSTK,ACC,30-Jul-2015,0,XX,1478,1478,1478,1478,1491.85,4,7.39,3000,250,28-MAY-2015,
FUTSTK,ADANIENT,28-May-2015,0,XX,783,786.15,717.55,734,734.5,23639,87153.11,1806500,-1202500,28-MAY-2015,
FUTSTK,ADANIENT,25-Jun-2015,0,XX,782.8,788.45,718,734,734,17760,65371.65,3220000,1135500,28-MAY-2015,
FUTSTK,ADANIENT,30-Jul-2015,0,XX,750,750,719.05,733.45,733.45,102,372.79,31000,16000,28-MAY-2015,
