INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,30-Apr-2015,0,XX,18283.2,18425,18150,18327.45,18338.1,133127,608891.42,603075,-462300,30-APR-2015,
FUTIDX,BANKNIFTY,28-May-2015,0,XX,18400.9,18555,18299.95,18490.65,18490.65,87933,405433.43,1607650,606175,30-APR-2015,
FUTIDX,BANKNIFTY,25-Jun-2015,0,XX,18462.3,18602,18354.95,18547.8,18547.8,1553,7181.83,52600,12450,30-APR-2015,
FUTIDX,CNXINFRA,30-Apr-2015,0,XX,0,0,0,3372.45,3154.65,0,0,0,0,30-APR-2015,
FUTIDX,CNXINFRA,28-May-2015,0,XX,0,0,0,3295,3174.3,0,0,0,0,30-APR-2015,
FUTIDX,CNXINFRA,25-Jun-2015,0,XX,0,0,0,3245.75,3195.25,0,0,0,0,30-APR-2015,
FUTIDX,CNXIT,30-Apr-2015,0,XX,11054,11054,10915,10990.55,11001.05,807,2218.14,10925,-2275,30-APR-2015,
FUTIDX,CNXIT,28-May-2015,0,XX,11080.05,11151,10982.85,11133.45,11133.45,731,2024.29,15400,9500,30-APR-2015,
FUTIDX,CNXIT,25-Jun-2015,0,XX,0,0,0,12434.65,11142.55,0,0,0,0,30-APR-2015,
FUTIDX,CNXPSE,30-Apr-2015,0,XX,0,0,0,3545,3414.15,0,0,0,0,30-APR-2015,
FUTIDX,CNXPSE,28-May-2015,0,XX,0,0,0,3490,3435.4,0,0,0,0,30-APR-2015,
FUTIDX,CNXPSE,25-Jun-2015,0,XX,0,0,0,3465.9,3458.1,0,0,0,0,30-APR-2015,
FUTIDX,DJIA,15-May-2015,0,XX,17965,17965,17877.5,17900,17900,371,1663.04,18125,-4950,30-APR-2015,
FUTIDX,DJIA,19-Jun-2015,0,XX,17825,17825,17825,17825,18242.5,1,4.45,700,0,30-APR-2015,
FUTIDX,DJIA,17-Jul-2015,0,XX,0,0,0,18472.5,18360,0,0,0,0,30-APR-2015,
FUTIDX,DJIA,18-Sep-2015,0,XX,0,0,0,18855,18627.5,0,0,0,0,30-APR-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,19362.5,19017.5,0,0,0,0,30-APR-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,19560,19417.5,0,0,0,0,30-APR-2015,
FUTIDX,FTSE100,15-May-2015,0,XX,6920,6935,6880,6880,6970,10,34.58,450,200,30-APR-2015,
FUTIDX,FTSE100,19-Jun-2015,0,XX,0,0,0,7417,7026,0,0,0,0,30-APR-2015,
FUTIDX,FTSE100,17-Jul-2015,0,XX,0,0,0,7246,7071,0,0,0,0,30-APR-2015,
FUTIDX,FTSE100,18-Sep-2015,0,XX,0,0,0,7413,7174,0,0,0,0,30-APR-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,7324,0,0,0,0,30-APR-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,7478,0,0,0,0,30-APR-2015,
FUTIDX,NFTYMCAP50,30-Apr-2015,0,XX,0,0,0,3563.4,3266.9,0,0,0,0,30-APR-2015,
FUTIDX,NFTYMCAP50,28-May-2015,0,XX,0,0,0,3426.25,3287.25,0,0,0,0,30-APR-2015,
FUTIDX,NFTYMCAP50,25-Jun-2015,0,XX,0,0,0,3377.6,3308.95,0,0,0,0,30-APR-2015,
FUTIDX,NIFTY,30-Apr-2015,0,XX,8214.95,8225,8136.8,8177.35,8181.5,814081,1663335.38,9175700,-1848425,30-APR-2015,
FUTIDX,NIFTY,28-May-2015,0,XX,8279.35,8288.7,8200,8244.05,8244.05,544411,1120600.74,18924450,5950900,30-APR-2015,
FUTIDX,NIFTY,25-Jun-2015,0,XX,8315,8315,8233.35,8275.3,8275.3,13658,28224.48,719975,125075,30-APR-2015,
FUTIDX,S&P500,15-May-2015,0,XX,2100,2100.25,2088.25,2092,2092,200,1049.12,227250,-12250,30-APR-2015,
FUTIDX,S&P500,19-Jun-2015,0,XX,0,0,0,2139.25,2131.25,0,0,0,0,30-APR-2015,
FUTIDX,S&P500,17-Jul-2015,0,XX,0,0,0,2147.75,2144.75,0,0,0,0,30-APR-2015,
FUTIDX,S&P500,18-Sep-2015,0,XX,0,0,0,2196.5,2175.75,0,0,0,0,30-APR-2015,
FUTIDX,S&P500,18-Dec-2015,0,XX,0,0,0,2244.75,2221.5,0,0,0,0,30-APR-2015,
FUTIDX,S&P500,18-Mar-2016,0,XX,0,0,0,2275.75,2268.25,0,0,0,0,30-APR-2015,
FUTIVX,INDIAVIX,05-May-2015,0,XX,0,0,0,1479.5,1719.5,0,0,0,0,30-APR-2015,
FUTIVX,INDIAVIX,12-May-2015,0,XX,0,0,0,1699.5,1719.5,0,0,0,0,30-APR-2015,
FUTIVX,INDIAVIX,19-May-2015,0,XX,0,0,0,1735.5,1719.5,0,0,0,0,30-APR-2015,
FUTSTK,ABIRLANUVO,30-Apr-2015,0,XX,1564.7,1585,1538.05,1566.45,1568,4442,17315.17,151500,-330250,30-APR-2015,
FUTSTK,ABIRLANUVO,28-May-2015,0,XX,1589.2,1593.75,1550.05,1580.85,1580.85,3273,12846.22,1033750,299000,30-APR-2015,
FUTSTK,ABIRLANUVO,25-Jun-2015,0,XX,1568.6,1568.65,1568.6,1568.65,1588.2,3,11.76,750,500,30-APR-2015,
FUTSTK,ACC,30-Apr-2015,0,XX,1486.7,1491,1430.1,1432.9,1433.7,5388,19626.44,305750,-382750,30-APR-2015,
FUTSTK,ACC,28-May-2015,0,XX,1478.15,1490,1441,1445.95,1445.95,5246,19195.26,1523500,199000,30-APR-2015,
FUTSTK,ACC,25-Jun-2015,0,XX,1491.1,1491.1,1445.9,1450.95,1450.95,8,29.41,2750,250,30-APR-2015,
FUTSTK,ADANIENT,30-Apr-2015,0,XX,676.1,689.25,670.1,675,674.2,9945,33884.47,1040000,-1731000,30-APR-2015,
FUTSTK,ADANIENT,28-May-2015,0,XX,682.75,693.5,675,680.15,680.15,9173,31444.83,5278000,1749000,30-APR-2015,
FUTSTK,ADANIENT,25-Jun-2015,0,XX,683.75,695.2,680.35,682.9,682.9,30,102.9,8000,500,30-APR-2015,
FUTSTK,ADANIPORTS,30-Apr-2015,0,XX,313.65,319.65,308.95,317.4,317.55,5360,16974.36,671000,-2469000,30-APR-2015,
FUTSTK,ADANIPORTS,28-May-2015,0,XX,315.4,322.7,311.35,320.5,320.5,6564,20960.07,7801000,2748000,30-APR-2015,
FUTSTK,ADANIPORTS,25-Jun-2015,0,XX,318.05,324.35,318.05,323.05,323.05,4,12.89,13000,0,30-APR-2015,
FUTSTK,ADANIPOWER,30-Apr-2015,0,XX,42.8,43.05,42.25,42.9,42.95,4804,16412.34,8896000,-21568000,30-APR-2015,
FUTSTK,ADANIPOWER,28-May-2015,0,XX,43.1,43.5,42.6,43.3,43.3,4995,17215.03,60472000,18888000,30-APR-2015,
FUTSTK,ADANIPOWER,25-Jun-2015,0,XX,43.3,43.75,43.3,43.55,43.55,28,97.5,728000,192000,30-APR-2015,
FUTSTK,ALBK,30-Apr-2015,0,XX,98.8,103.35,98.5,102.9,103.25,3464,6982.92,3458000,-888000,30-APR-2015,
FUTSTK,ALBK,28-May-2015,0,XX,99.1,103.05,98.95,102.8,102.8,3784,7668.86,6604000,2206000,30-APR-2015,
FUTSTK,ALBK,25-Jun-2015,0,XX,99,102.65,99,102.2,102.2,38,76.44,214000,18000,30-APR-2015,
FUTSTK,AMBUJACEM,30-Apr-2015,0,XX,234.8,241,232.05,232.55,232.4,4871,11511.61,928000,-1512000,30-APR-2015,
FUTSTK,AMBUJACEM,28-May-2015,0,XX,236.75,242,233.75,234.45,234.45,5086,12081.53,6598000,1164000,30-APR-2015,
FUTSTK,AMBUJACEM,25-Jun-2015,0,XX,241,241,241,241,235.4,1,2.41,3000,1000,30-APR-2015,
FUTSTK,AMTEKAUTO,30-Apr-2015,0,XX,154.95,159.5,152.65,158.25,158.8,2163,6734.87,844000,-1750000,30-APR-2015,
FUTSTK,AMTEKAUTO,28-May-2015,0,XX,156.25,161.5,153.85,160.25,160.25,2901,9145.3,9784000,3156000,30-APR-2015,
FUTSTK,AMTEKAUTO,25-Jun-2015,0,XX,158.25,158.25,158.05,158.05,160.85,2,6.32,8000,4000,30-APR-2015,
FUTSTK,ANDHRABANK,30-Apr-2015,0,XX,76,76.95,75.5,76.3,76.4,3318,10140.71,2420000,-7148000,30-APR-2015,
FUTSTK,ANDHRABANK,28-May-2015,0,XX,76.5,77.55,76.05,77.05,77.05,3807,11726.65,16964000,6144000,30-APR-2015,
FUTSTK,ANDHRABANK,25-Jun-2015,0,XX,76.2,77.2,76.2,77.05,77.05,34,104.57,356000,92000,30-APR-2015,
FUTSTK,APOLLOHOSP,30-Apr-2015,0,XX,1155.2,1174.6,1130.65,1135.85,1137.15,1952,5618.65,122500,-136750,30-APR-2015,
FUTSTK,APOLLOHOSP,28-May-2015,0,XX,1172.05,1181.9,1141.85,1147.85,1147.85,1898,5499.47,505250,210500,30-APR-2015,
FUTSTK,APOLLOHOSP,25-Jun-2015,0,XX,1170,1170,1165,1165,1151.8,11,32.01,750,750,30-APR-2015,
FUTSTK,APOLLOTYRE,30-Apr-2015,0,XX,172.7,174.85,171.45,173.2,173.3,3598,12485.23,2782000,-2566000,30-APR-2015,
FUTSTK,APOLLOTYRE,28-May-2015,0,XX,173.95,176.15,172.95,174.9,174.9,3476,12155.87,11152000,3234000,30-APR-2015,
FUTSTK,APOLLOTYRE,25-Jun-2015,0,XX,174.5,174.5,174.5,174.5,175.55,10,34.89,10000,4000,30-APR-2015,
FUTSTK,ARVIND,30-Apr-2015,0,XX,254.5,259.25,250.2,253.9,254.1,5197,13258.28,773000,-2260000,30-APR-2015,
FUTSTK,ARVIND,28-May-2015,0,XX,258.7,261,252.3,256.5,256.5,5114,13144.73,5948000,2221000,30-APR-2015,
FUTSTK,ARVIND,25-Jun-2015,0,XX,259.3,260.55,258.9,258.9,258.9,9,23.26,16000,7000,30-APR-2015,
FUTSTK,ASHOKLEY,30-Apr-2015,0,XX,68.65,70.2,67.9,69.6,69.6,7487,41489.21,7568000,-18456000,30-APR-2015,
FUTSTK,ASHOKLEY,28-May-2015,0,XX,68.9,70.7,68.3,70.2,70.2,7418,41420.38,65216000,17328000,30-APR-2015,
FUTSTK,ASHOKLEY,25-Jun-2015,0,XX,69,70.85,68.65,70.65,70.65,41,230.09,664000,104000,30-APR-2015,
FUTSTK,ASIANPAINT,30-Apr-2015,0,XX,750.4,769.95,747.5,761.55,762.45,6719,25463.91,874500,-1542500,30-APR-2015,
FUTSTK,ASIANPAINT,28-May-2015,0,XX,755.75,775.3,753,768.8,768.8,6265,23943.57,5153500,1440000,30-APR-2015,
FUTSTK,ASIANPAINT,25-Jun-2015,0,XX,757,778,757,772.45,772.45,30,115.5,24500,11000,30-APR-2015,
FUTSTK,AUROPHARMA,30-Apr-2015,0,XX,1275.65,1298.55,1238.8,1283.85,1285.65,22069,69802.41,1046750,-2499500,30-APR-2015,
FUTSTK,AUROPHARMA,28-May-2015,0,XX,1291.3,1309.75,1255,1296.7,1296.7,22684,72365.04,9099250,3345000,30-APR-2015,
FUTSTK,AUROPHARMA,25-Jun-2015,0,XX,1276.25,1309.95,1265.7,1307,1307,29,93.06,16000,3500,30-APR-2015,
FUTSTK,AXISBANK,30-Apr-2015,0,XX,563.1,582.4,559,567,567.8,60397,172679.11,5564000,-6814000,30-APR-2015,
FUTSTK,AXISBANK,28-May-2015,0,XX,575,585.45,562.65,572.5,572.5,54941,158096.9,23858000,5519500,30-APR-2015,
FUTSTK,AXISBANK,25-Jun-2015,0,XX,564.8,585.15,564.8,574.9,574.9,1685,4859.14,741500,409500,30-APR-2015,
